"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","national_rank"
"1","California Institute of Technology","United States of America",95.7,56,98.2,99.9,97,94.8,2243,6.9,"27%","33 : 67",2012,1
"2","Harvard University","United States of America",95.8,67.5,97.4,99.8,35.9,93.9,20152,8.9,"25%",NA,2012,2
"2","Stanford University","United States of America",94.8,57.2,98.9,99.8,63.8,93.9,15596,7.8,"22%","42 : 58",2012,3
"4","University of Oxford","United Kingdom",89.5,91.9,96.6,97.9,62.1,93.6,19919,11.6,"34%","46 : 54",2012,1
"5","Princeton University","United States of America",91.5,49.6,99.1,100,81,92.9,7929,8.4,"27%","45 : 55",2012,4
"6","University of Cambridge","United Kingdom",90.5,85.3,94.2,97.3,55.5,92.4,18812,11.8,"34%","46 : 54",2012,2
"7","Massachusetts Institute of Technology","United States of America",92.7,79.2,87.4,100,94.4,92.3,11074,9,"33%","37 : 63",2012,5
"8","Imperial College London","United Kingdom",88.8,92.2,88.7,93.9,93.1,90.7,15060,11.7,"51%","37 : 63",2012,3
"9","University of Chicago","United States of America",89.4,58.8,90.8,99.4,NA,90.2,14221,6.9,"21%","42 : 58",2012,6
"10","University of California, Berkeley","United States of America",82.8,50.4,99.4,99.4,62.5,89.8,36186,16.4,"15%","50 : 50",2012,7
"11","Yale University","United States of America",92.3,55.5,91.2,96.7,34.7,89.1,11751,4.4,"20%","50 : 50",2012,8
"12","Columbia University","United States of America",89.1,67.6,81.8,97.8,NA,87.5,25055,5.9,"28%",NA,2012,9
"13","University of California, Los Angeles","United States of America",85.9,41,92.5,97.3,NA,87.3,38206,10.3,"15%","52 : 48",2012,10
"14","Johns Hopkins University","United States of America",78.9,59.9,86.5,97.3,100,85.8,15128,3.6,"23%","50 : 50",2012,11
"15","ETH Zurich – Swiss Federal Institute of Technology Zurich","Switzerland",79.1,97.5,85.8,87.2,NA,85,18178,14.7,"37%","31 : 69",2012,1
"16","University of Pennsylvania","United States of America",87,34.3,86.1,97.9,41.9,84.9,20376,6.5,"20%","51 : 49",2012,12
